Company,URL,founder1_name,founder1_linkedin,founder2_name,founder2_linkedin,founder3_name,founder3_linkedin
Nox Metals,https://noxmetals.co/,Zane Hengsperger,https://www.linkedin.com/in/zanehh/,,,,
Blue,https://heyblue.com/,Omar Abdelaziz,https://linkedin.com/in/oabdelaziz/,Farhan Hossain,https://www.linkedin.com/in/mfarhanh/,Peter Krogh,https://www.linkedin.com/in/peter-krogh-820273/
Paloma,https://getpaloma.ai/,Alex Avnit,https://www.linkedin.com/in/alex-avnit-222b3611a/,Nazli Danis,https://www.linkedin.com/in/nazlidanis/,Kaiwen Song,https://www.linkedin.com/in/kaiwen-song/
Uplift AI,https://upliftai.org/,Muhammad Bin Sabir,https://linkedin.com/in/muhammad-sabir,Hammad Malik,https://www.linkedin.com/in/hammad2,Zaid Qureshi,https://linkedin.com/in/zaidqureshi
RealRoots,http://www.therealroots.com/,Tara Kappel,https://linkedin.com/in/tara-kappel-5baa6095,Dorothy Li,https://linkedin.com/in/dorothy-li-994a2213,,
Luminal,https://luminalai.com/,Joe Fioti,https://linkedin.com/in/joe-fioti-24a986189,Matthew Gunton,https://www.linkedin.com/in/matthewjgunton/,Jake Stevens,https://linkedin.com/in/jake-stevens-
Freya,https://freyavoice.ai/,Tunga Bayrak,https://www.linkedin.com/in/tunga-bayrak/,Tomas Nepala,https://www.linkedin.com/in/tomas-nepala,,
burnt,https://getburnt.ai/,Joseph Jacob,https://www.linkedin.com/in/josephjacob93,Rhea Karimpanal,https://www.linkedin.com/in/rheakarimpanal/,Chandru Shanumugasundaram,https://linkedin.com/in/chandrushanmugasundaram
Avent,https://www.aventindustrial.com/,Abhay Kalra,https://www.linkedin.com/in/abhay-kalra-683688214,,,,
Cacao,https://www.cacaofi.com/,Alec Howard,https://linkedin.com/in/alexandermhoward,Carlos Jimenez,https://www.linkedin.com/in/carlosjimenezcastrillo/,Michael Mason,https://www.linkedin.com/in/mason-michael/
Veritus Agent,https://www.veritusagent.ai/,Joshua March,https://www.linkedin.com/in/joshuamarch/,David Schlesinger,https://www.linkedin.com/in/davidschles/,Joseph Stein,https://www.linkedin.com/in/josephstein1
Outrove,https://www.outrove.ai/,Ahmed ElShireef,https://www.linkedin.com/in/ahmedelshireef/,Saif Elhager,https://www.linkedin.com/in/saif-elhager-18b96a202,,
NOSO LABS,https://noso.so/,Winston Chi,https://www.linkedin.com/in/lwchi/,,,,
Vulcan Technologies,https://www.vulcan-tech.com/,Tanner Jones,https://www.linkedin.com/in/tanner-jones-817192167/,Aleksander Mekhanik,https://www.linkedin.com/in/aleksander-mekhanik-41547b272/,Chris Minge,https://www.linkedin.com/in/chrisminge
